step,action,location, speed,EV location,EV speed,d to next tl,t1,,t2,,t3,,t4,,t5,,t6,,t7,,t8,,t9,,t10,,t11,,t12,,t13,,t14,,t15,,t16,,t17,
1,0.820456,0.016409,0.164091,[0.016409,0.164091,99.983589,10,1,27,1,51,1,53,1,53,1,61,1,67,1,67,1,67,1,57,1,57,1,67,1,61,1,61,1,61,1,61,1,50, 2.0]
2,0.820481,0.049228,0.328187,[0.049228,0.328187,99.950775,10,1,27,1,51,1,53,1,53,1,61,1,67,1,67,1,67,1,57,1,57,1,67,1,61,1,61,1,61,1,61,1,50, 2.0]
3,0.820445,0.098456,0.492276,[0.098456,0.492276,99.901543,10,1,27,1,51,1,53,1,53,1,61,1,67,1,67,1,67,1,57,1,57,1,67,1,61,1,61,1,61,1,61,1,50, 2.0]
4,0.820347,0.16409,0.656346,[0.16409,0.656346,99.835907,10,1,27,1,51,1,53,1,53,1,61,1,67,1,67,1,67,1,57,1,57,1,67,1,61,1,61,1,61,1,61,1,50, 2.0]
5,0.820187,0.246128,0.820383,[0.246128,0.820383,99.753868,10,1,27,1,51,1,53,1,53,1,61,1,67,1,67,1,67,1,57,1,57,1,67,1,61,1,61,1,61,1,61,1,50, 2.0]
6,0.819961,0.344566,0.984375,[0.344566,0.984375,99.655434,10,1,27,1,51,1,53,1,53,1,61,1,67,1,67,1,67,1,57,1,57,1,67,1,61,1,61,1,61,1,61,1,50, 2.0]
7,0.819668,0.459397,1.148309,[0.459397,1.148309,99.540604,10,1,27,1,51,1,53,1,53,1,61,1,67,1,67,1,67,1,57,1,57,1,67,1,61,1,61,1,61,1,61,1,50, 2.0]
8,0.819305,0.590614,1.31217,[0.590614,1.31217,99.409386,10,1,27,1,51,1,53,1,53,1,61,1,67,1,67,1,67,1,57,1,57,1,67,1,61,1,61,1,61,1,61,1,50, 2.0]
9,0.818868,0.738208,1.475943,[0.738208,1.475943,99.261795,10,1,27,1,51,1,53,1,53,1,61,1,67,1,67,1,67,1,57,1,57,1,67,1,61,1,61,1,61,1,61,1,50, 2.0]
10,0.818353,0.90217,1.639614,[0.90217,1.639614,99.097832,10,1,26,1,50,1,52,1,52,1,60,1,67,1,67,1,67,1,56,1,56,1,67,1,60,1,60,1,60,1,60,1,49, 2.0]
11,0.830013,1.082731,1.805617,[1.082731,1.805617,98.917267,9,1,26,1,50,1,52,1,52,1,60,1,66,1,66,1,66,1,56,1,56,1,66,1,60,1,60,1,60,1,60,1,49, 2.0]
12,0.833056,1.279954,1.972228,[1.279954,1.972228,98.720047,9,1,26,1,50,1,52,1,52,1,60,1,66,1,66,1,66,1,56,1,56,1,66,1,60,1,60,1,60,1,60,1,49, 2.0]
