guo le ting zhi xian cai ting che, yin wei hong lv deng qu zheng shu

real world time stamp: 2023-06-26 14:25:02.969631	frame = 23780	 simulation time = 475.580	 ego_vehicle speed = 16.6667	 ego_vehicle location = 5072.037271999	 next light status = 3green
real world time stamp: 2023-06-26 14:25:02.969789	frame = 23781	 simulation time = 475.600	 ego_vehicle speed = 16.6667	 ego_vehicle location = 5072.370605999	 next light status = 3green
real world time stamp: 2023-06-26 14:25:02.969946	frame = 23782	 simulation time = 475.620	 ego_vehicle speed = 16.6667	 ego_vehicle location = 5072.703939999	 next light status = 3green
real world time stamp: 2023-06-26 14:25:02.970104	frame = 23783	 simulation time = 475.640	 ego_vehicle speed = 16.6667	 ego_vehicle location = 5073.037273999	 next light status = 3green
real world time stamp: 2023-06-26 14:25:02.970262	frame = 23784	 simulation time = 475.660	 ego_vehicle speed = 16.6667	 ego_vehicle location = 5073.370607999	 next light status = 3green
real world time stamp: 2023-06-26 14:25:02.970421	frame = 23785	 simulation time = 475.680	 ego_vehicle speed = 16.6667	 ego_vehicle location = 5073.703941999	 next light status = 3green
real world time stamp: 2023-06-26 14:25:02.970579	frame = 23786	 simulation time = 475.700	 ego_vehicle speed = 16.6667	 ego_vehicle location = 5074.037275999	 next light status = 3green
real world time stamp: 2023-06-26 14:25:02.970737	frame = 23787	 simulation time = 475.720	 ego_vehicle speed = 16.6667	 ego_vehicle location = 5074.370609999	 next light status = 3green
real world time stamp: 2023-06-26 14:25:02.970895	frame = 23788	 simulation time = 475.740	 ego_vehicle speed = 16.6667	 ego_vehicle location = 5074.703943999	 next light status = 3green
real world time stamp: 2023-06-26 14:25:02.971052	frame = 23789	 simulation time = 475.760	 ego_vehicle speed = 16.6667	 ego_vehicle location = 5075.037277999	 next light status = 3green
real world time stamp: 2023-06-26 14:25:02.971209	frame = 23790	 simulation time = 475.780	 ego_vehicle speed = 16.6667	 ego_vehicle location = 5075.370611999	 next light status = 3green
real world time stamp: 2023-06-26 14:25:02.971368	frame = 23791	 simulation time = 475.800	 ego_vehicle speed = 16.6667	 ego_vehicle location = 5075.703945999	 next light status = 3green
