frame = 14253	 simulation time = 285.04	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14254	 simulation time = 285.06	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14255	 simulation time = 285.08	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14256	 simulation time = 285.10	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14257	 simulation time = 285.12	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14258	 simulation time = 285.14	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14259	 simulation time = 285.16	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14260	 simulation time = 285.18	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14261	 simulation time = 285.20	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14262	 simulation time = 285.22	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14263	 simulation time = 285.24	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14264	 simulation time = 285.26	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14265	 simulation time = 285.28	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14266	 simulation time = 285.30	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14267	 simulation time = 285.32	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14268	 simulation time = 285.34	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14269	 simulation time = 285.36	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14270	 simulation time = 285.38	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14271	 simulation time = 285.40	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14272	 simulation time = 285.42	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14273	 simulation time = 285.44	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14274	 simulation time = 285.46	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14275	 simulation time = 285.48	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14276	 simulation time = 285.50	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14277	 simulation time = 285.52	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14278	 simulation time = 285.54	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14279	 simulation time = 285.56	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14280	 simulation time = 285.58	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14281	 simulation time = 285.60	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14282	 simulation time = 285.62	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14283	 simulation time = 285.64	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14284	 simulation time = 285.66	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14285	 simulation time = 285.68	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14286	 simulation time = 285.70	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14287	 simulation time = 285.72	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14288	 simulation time = 285.74	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14289	 simulation time = 285.76	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14290	 simulation time = 285.78	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14291	 simulation time = 285.80	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14292	 simulation time = 285.82	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14293	 simulation time = 285.84	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14294	 simulation time = 285.86	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1yello
frame = 14295	 simulation time = 285.88	 ego_vehicle speed = 20.066	 ego_vehicle location = 100.6723221631	 next light status = 1red
frame = 14296	 simulation time = 285.90	 ego_vehicle speed = 19.908	 ego_vehicle location = 101.0704821631	 next light status = 70red
frame = 14297	 simulation time = 285.92	 ego_vehicle speed = 19.750	 ego_vehicle location = 101.4654821631	 next light status = 70red
frame = 14298	 simulation time = 285.94	 ego_vehicle speed = 19.592	 ego_vehicle location = 101.8573221631	 next light status = 70red
frame = 14299	 simulation time = 285.96	 ego_vehicle speed = 19.434	 ego_vehicle location = 102.2460021631	 next light status = 70red
frame = 14300	 simulation time = 285.98	 ego_vehicle speed = 19.276	 ego_vehicle location = 102.6315221631	 next light status = 70red
frame = 14301	 simulation time = 286.00	 ego_vehicle speed = 19.118	 ego_vehicle location = 103.0138821631	 next light status = 70red
frame = 14302	 simulation time = 286.02	 ego_vehicle speed = 18.960	 ego_vehicle location = 103.3930821631	 next light status = 70red
frame = 14303	 simulation time = 286.04	 ego_vehicle speed = 18.802	 ego_vehicle location = 103.7691221631	 next light status = 70red
