frame = 21552	 simulation time = 431.02	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 68red
frame = 21553	 simulation time = 431.04	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 68red
frame = 21554	 simulation time = 431.06	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 68red
frame = 21555	 simulation time = 431.08	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 68red
frame = 21556	 simulation time = 431.10	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 68red
frame = 21557	 simulation time = 431.12	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 68red
frame = 21558	 simulation time = 431.14	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 68red
frame = 21559	 simulation time = 431.16	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 68red
frame = 21560	 simulation time = 431.18	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 68red
frame = 21561	 simulation time = 431.20	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 68red
frame = 21562	 simulation time = 431.22	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 68red
frame = 21563	 simulation time = 431.24	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 68red
frame = 21564	 simulation time = 431.26	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 68red
frame = 21565	 simulation time = 431.28	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 68red
frame = 21566	 simulation time = 431.30	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 68red
frame = 21567	 simulation time = 431.32	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 68red
frame = 21568	 simulation time = 431.34	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 68red
frame = 21569	 simulation time = 431.36	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 68red
frame = 21570	 simulation time = 431.38	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 68red
frame = 21571	 simulation time = 431.40	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 68red
frame = 21572	 simulation time = 431.42	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 68red
frame = 21573	 simulation time = 431.44	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 68red
frame = 21574	 simulation time = 431.46	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 68red
frame = 21575	 simulation time = 431.48	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 68red
frame = 21576	 simulation time = 431.50	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 68red
frame = 21577	 simulation time = 431.52	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 68red
