frame = 21007	 simulation time = 420.120	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 6green
frame = 21008	 simulation time = 420.140	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 6green
frame = 21009	 simulation time = 420.160	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 6green
frame = 21010	 simulation time = 420.180	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 6green
frame = 21011	 simulation time = 420.200	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 6green
frame = 21012	 simulation time = 420.220	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 6green
frame = 21013	 simulation time = 420.240	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 6green
frame = 21014	 simulation time = 420.260	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 6green
frame = 21015	 simulation time = 420.280	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 6green
frame = 21016	 simulation time = 420.300	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 6green
frame = 21017	 simulation time = 420.320	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 6green
frame = 21018	 simulation time = 420.340	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 6green
frame = 21019	 simulation time = 420.360	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 6green
frame = 21020	 simulation time = 420.380	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 6green
frame = 21021	 simulation time = 420.400	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 6green
frame = 21022	 simulation time = 420.420	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 6green
frame = 21023	 simulation time = 420.440	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 6green
frame = 21024	 simulation time = 420.460	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 6green
frame = 21025	 simulation time = 420.480	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 6green
frame = 21026	 simulation time = 420.500	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 6green
frame = 21027	 simulation time = 420.520	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 6green
frame = 21028	 simulation time = 420.540	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 6green
frame = 21029	 simulation time = 420.560	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 6green
frame = 21030	 simulation time = 420.580	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 6green
frame = 21031	 simulation time = 420.600	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 6green
frame = 21032	 simulation time = 420.620	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 6green
frame = 21033	 simulation time = 420.640	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 6green
frame = 21034	 simulation time = 420.660	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 6green
frame = 21035	 simulation time = 420.680	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 6green
frame = 21036	 simulation time = 420.700	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 6green
frame = 21037	 simulation time = 420.720	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 6green
frame = 21038	 simulation time = 420.740	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 6green
frame = 21039	 simulation time = 420.760	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 6green
frame = 21040	 simulation time = 420.780	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 6green
frame = 21041	 simulation time = 420.800	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 6green
frame = 21042	 simulation time = 420.820	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 6green
frame = 21043	 simulation time = 420.840	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 6green
