real world time stamp: 2023-06-21 14:36:38.240662	frame = 1	 simulation time = 0000000	 ego_vehicle speed = 0.00000	 ego_vehicle location = 0.0000000	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.240812	frame = 2	 simulation time = 0.02000	 ego_vehicle speed = 0.11600	 ego_vehicle location = 0.0034800	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.240879	frame = 3	 simulation time = 0.04000	 ego_vehicle speed = 0.23200	 ego_vehicle location = 0.0116000	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.240938	frame = 4	 simulation time = 0.06000	 ego_vehicle speed = 0.34800	 ego_vehicle location = 0.0243600	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.240995	frame = 5	 simulation time = 0.08000	 ego_vehicle speed = 0.46400	 ego_vehicle location = 0.0417600	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.241048	frame = 6	 simulation time = 0.10000	 ego_vehicle speed = 0.58000	 ego_vehicle location = 0.0638000	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.241100	frame = 7	 simulation time = 0.12000	 ego_vehicle speed = 0.69600	 ego_vehicle location = 0.0904800	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.241151	frame = 8	 simulation time = 0.14000	 ego_vehicle speed = 0.81200	 ego_vehicle location = 0.1218000	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.241206	frame = 9	 simulation time = 0.16000	 ego_vehicle speed = 0.92800	 ego_vehicle location = 0.1577600	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.241257	frame = 10	 simulation time = 0.18000	 ego_vehicle speed = 1.04400	 ego_vehicle location = 0.1983600	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.241307	frame = 11	 simulation time = 0.20000	 ego_vehicle speed = 1.16000	 ego_vehicle location = 0.2436000	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.241358	frame = 12	 simulation time = 0.22000	 ego_vehicle speed = 1.27600	 ego_vehicle location = 0.2934800	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.241408	frame = 13	 simulation time = 0.24000	 ego_vehicle speed = 1.39200	 ego_vehicle location = 0.3480000	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.241455	frame = 14	 simulation time = 0.26000	 ego_vehicle speed = 1.50800	 ego_vehicle location = 0.4071600	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.241502	frame = 15	 simulation time = 0.28000	 ego_vehicle speed = 1.62400	 ego_vehicle location = 0.4709600	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.241549	frame = 16	 simulation time = 0.30000	 ego_vehicle speed = 1.74000	 ego_vehicle location = 0.5394000	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.241597	frame = 17	 simulation time = 0.32000	 ego_vehicle speed = 1.85600	 ego_vehicle location = 0.6124800	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.241650	frame = 18	 simulation time = 0.34000	 ego_vehicle speed = 1.97200	 ego_vehicle location = 0.6902000	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.241697	frame = 19	 simulation time = 0.36000	 ego_vehicle speed = 2.08800	 ego_vehicle location = 0.7725600	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.241744	frame = 20	 simulation time = 0.38000	 ego_vehicle speed = 2.20400	 ego_vehicle location = 0.8595600	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.241791	frame = 21	 simulation time = 0.40000	 ego_vehicle speed = 2.32000	 ego_vehicle location = 0.9512000	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.241838	frame = 22	 simulation time = 0.42000	 ego_vehicle speed = 2.43600	 ego_vehicle location = 1.0474800	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.241885	frame = 23	 simulation time = 0.44000	 ego_vehicle speed = 2.55200	 ego_vehicle location = 1.1484000	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.241941	frame = 24	 simulation time = 0.46000	 ego_vehicle speed = 2.66800	 ego_vehicle location = 1.2539600	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.241988	frame = 25	 simulation time = 0.48000	 ego_vehicle speed = 2.78400	 ego_vehicle location = 1.3641600	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.242034	frame = 26	 simulation time = 0.50000	 ego_vehicle speed = 2.90000	 ego_vehicle location = 1.4790000	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.242081	frame = 27	 simulation time = 0.52000	 ego_vehicle speed = 3.01600	 ego_vehicle location = 1.5984800	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.242129	frame = 28	 simulation time = 0.54000	 ego_vehicle speed = 3.13200	 ego_vehicle location = 1.7226000	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.242176	frame = 29	 simulation time = 0.56000	 ego_vehicle speed = 3.24800	 ego_vehicle location = 1.8513600	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.242223	frame = 30	 simulation time = 0.58000	 ego_vehicle speed = 3.36400	 ego_vehicle location = 1.9847600	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.242270	frame = 31	 simulation time = 0.60000	 ego_vehicle speed = 3.48000	 ego_vehicle location = 2.1228000	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.242316	frame = 32	 simulation time = 0.62000	 ego_vehicle speed = 3.59600	 ego_vehicle location = 2.2654800	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.242364	frame = 33	 simulation time = 0.64000	 ego_vehicle speed = 3.71200	 ego_vehicle location = 2.4128000	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.242410	frame = 34	 simulation time = 0.66000	 ego_vehicle speed = 3.82800	 ego_vehicle location = 2.5647600	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.242456	frame = 35	 simulation time = 0.68000	 ego_vehicle speed = 3.94400	 ego_vehicle location = 2.7213600	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.242500	frame = 36	 simulation time = 0.70000	 ego_vehicle speed = 4.06000	 ego_vehicle location = 2.8826000	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.242545	frame = 37	 simulation time = 0.72000	 ego_vehicle speed = 4.17600	 ego_vehicle location = 3.0484800	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.242590	frame = 38	 simulation time = 0.74000	 ego_vehicle speed = 4.29200	 ego_vehicle location = 3.2190000	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.242634	frame = 39	 simulation time = 0.76000	 ego_vehicle speed = 4.40800	 ego_vehicle location = 3.3941600	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.242679	frame = 40	 simulation time = 0.78000	 ego_vehicle speed = 4.52400	 ego_vehicle location = 3.5739600	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.242723	frame = 41	 simulation time = 0.80000	 ego_vehicle speed = 4.64000	 ego_vehicle location = 3.7584000	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.242768	frame = 42	 simulation time = 0.82000	 ego_vehicle speed = 4.75600	 ego_vehicle location = 3.9474800	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.242811	frame = 43	 simulation time = 0.84000	 ego_vehicle speed = 4.87200	 ego_vehicle location = 4.1412000	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.242856	frame = 44	 simulation time = 0.86000	 ego_vehicle speed = 4.98800	 ego_vehicle location = 4.3395600	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.242901	frame = 45	 simulation time = 0.88000	 ego_vehicle speed = 5.10400	 ego_vehicle location = 4.5425600	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.242946	frame = 46	 simulation time = 0.90000	 ego_vehicle speed = 5.22000	 ego_vehicle location = 4.7502000	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.242996	frame = 47	 simulation time = 0.92000	 ego_vehicle speed = 5.33600	 ego_vehicle location = 4.9624800	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.243045	frame = 48	 simulation time = 0.94000	 ego_vehicle speed = 5.45200	 ego_vehicle location = 5.1794000	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.243092	frame = 49	 simulation time = 0.96000	 ego_vehicle speed = 5.56800	 ego_vehicle location = 5.4009600	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.243140	frame = 50	 simulation time = 0.98000	 ego_vehicle speed = 5.68400	 ego_vehicle location = 5.6271600	 next light status = 50green
real world time stamp: 2023-06-21 14:36:38.243186	frame = 51	 simulation time = 1.00000	 ego_vehicle speed = 5.80000	 ego_vehicle location = 5.8580000	 next light status = 49green
real world time stamp: 2023-06-21 14:36:38.243234	frame = 52	 simulation time = 1.02000	 ego_vehicle speed = 5.91600	 ego_vehicle location = 6.0934800	 next light status = 49green
real world time stamp: 2023-06-21 14:36:38.243280	frame = 53	 simulation time = 1.04000	 ego_vehicle speed = 6.03200	 ego_vehicle location = 6.3336000	 next light status = 49green
real world time stamp: 2023-06-21 14:36:38.243325	frame = 54	 simulation time = 1.06000	 ego_vehicle speed = 6.14800	 ego_vehicle location = 6.5783600	 next light status = 49green
